Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
413;22191405;GENODEF1PIN;Volksbank Pinneberg-Uetersen eG;Pinneberg-Uetersen;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
414;22191405;GENODEF1PIN;VR Bank Pinneberg eG;Pinneberg, Halstenbek, Schenef;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
415;22250020;NOLADE21WHO;Sparkasse Westholstein;Itzehoe;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sh2.s-fints-pt-sh.de/fints30;FinTS V3.0;09.02.2022
416;23050101;NOLADE21SPL;Sparkasse zu L�beck AG;L�beck;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sh2.s-fints-pt-sh.de/fints30;FinTS V3.0;09.02.2022
417;23051030;NOLADE21SHO;Sparkasse S�dholstein;Bad Segeberg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sh2.s-fints-pt-sh.de/fints30;FinTS V3.0;09.02.2022
418;23051030;NOLADE21SHO;Keine FinTS-Unterst�tzung;;;;;;;;;;;;;;;;;;;;;;;24.02.2008
419;23052750;NOLADE21RZB;Kreissparkasse Herzogtum Lauenburg;Lauenburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sh1.s-fints-pt-sh.de/fints30;FinTS V3.0;09.02.2022
420;23061220;GENODEF1LZN;RB eG, Leezen;Leezen, Bad Segeberg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
421;23063129;GENODEF1RLB;RB eG Lauenburg;Lauenburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
422;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;L�beck;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
423;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Oldenburg in Holstein;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
424;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Ahrensb�k;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
425;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Bad Schwartau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
426;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Stockelsdorf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
427;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;M�lln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
428;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Neustadt in Holstein;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
429;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Ratzeburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
430;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Timmendorfer Strand;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
431;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Reinfeld (Holstein);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
432;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Ratekau;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
433;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Bad Oldesloe;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
434;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Eutin;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
435;23070700;DEUTDEDB237;Deutsche Bank Privat und Gesch�ftskunden;Bad Segeberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
436;23070710;DEUTDEHH222;Deutsche Bank;L�beck;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
