Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte �nderung
486;25451345;NOLADE21PMT;Stadtsparkasse Bad Pyrmont;Bad Pyrmont;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
487;25462160;GENODEF1HMP;Volksbank Hameln-Stadthagen eG;Hameln-Pyrmont;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
488;25462680;GENODEF1COP;Volksbank am Ith eG;Coppenbr�gge;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
489;25470024;DEUTDEDB254;Deutsche Bank Privat und Gesch�ftskunden;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
490;25470024;DEUTDEDB254;Deutsche Bank Privat und Gesch�ftskunden;Bad Pyrmont;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
491;25470073;DEUTDE2H254;Deutsche Bank;Hameln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
492;25471024;DEUTDEDB264;Deutsche Bank Privat und Gesch�ftskunden;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
493;25471073;DEUTDE2H264;Deutsche Bank;Rinteln;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
494;25551480;NOLADE21SHG;Sparkasse Schaumburg;Schaumburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni2.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
495;25591413;GENODEF1BCK;Volksbank in Schaumburg und Nienburg eG;Rinteln;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
496;25650106;NOLADE21NIB;Sparkasse Nienburg;Nienburg;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-ni3.s-fints-pt-ni.de/fints30;FinTS V3.0;09.02.2022
497;25691633;GENODEF1SUL;Volksbank Niedersachsen-Mitte eG;Hoya ;Atruvia AG;BVR;fints1.atruvia.de;nicht unterst�tzt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
